Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2020,Virgil Matthews,G,6-3,195,BV Chemnitz 99,Spanaway (WA),"2006 NBA Draft, Undrafted",United States
2020,Jamel McLean,F,6-8,230,MHP Riesen,Hampton (VA),"2011 NBA Draft, Undrafted",United States
2020,Jamuni McNeace,C,6-10,222,HARKO Merlins Crailsheim,Allen (TX),"2019 NBA Draft, Undrafted",United States
2020,Matthew Meredith,GF,6-6,200,Fraport Skyliners,Renton (WA),"2022 NBA Draft, Undrafted",United StatesGermany
2020,Michal Michalak,G,6-5,190,Mitteldeutscher BC,Pabianice,"2015 NBA Draft, Undrafted",Poland
2020,Isiaha Mike,F,6-8,215,BV Chemnitz 99,Scarborough,"2020 NBA Draft, Undrafted",Canada
2020,"Igor Milicic, Jr.",F,6-10,225,Ratiopharm Ulm,Slavonski Brod,2025 NBA Draft Eligible,CroatiaPoland
2020,Rasheed Moore,F,6-5,235,Fraport Skyliners,Wilkes-Barre (PA),"2017 NBA Draft, Undrafted",United States
2020,Nemanja Nadjfeji,F,6-4,178,Mitteldeutscher BC,Belgrade,"2022 NBA Draft, Undrafted",Serbia
2020,Elijah Ndi,F,6-5,190,s.Oliver Baskets,Berlin,2026 NBA Draft Eligible,Germany
2020,Luke Nelson,G,6-3,190,BG Goettingen,Worthing,"2017 NBA Draft, Undrafted",England
2020,Liam O'Reilly,G,6-2,180,Giessen 46ers,Austin (TX),"2018 NBA Draft, Undrafted",United States
2020,Norense Odiase,F,6-8,250,Brose Baskets Bamberg,Crowley (TX),"2019 NBA Draft, Undrafted",United States
2020,Tai Odiase,FC,6-9,240,BG Goettingen,Flossmoor (IL),"2018 NBA Draft, Undrafted",United States
2020,Mark Ogden,FC,6-9,210,s.Oliver Baskets,Spring Valley (CA),"2016 NBA Draft, Undrafted",United States
2020,Osvaldas Olisevicius,GF,6-6,202,Medi Bayreuth,Vilnius,"2015 NBA Draft, Undrafted",Lithuania
2020,Andrew Onwuegbuzie,G,6-2,161,BG Goettingen,Gottingen,"2017 NBA Draft, Undrafted",Germany
2020,Alvin Onyia,G,6-0,170,Fraport Skyliners,N/A,"2022 NBA Draft, Undrafted",Germany
2020,Djordje Pantelic,F,6-9,250,Mitteldeutscher BC,Zemun,"2006 NBA Draft, Undrafted",Serbia
2020,Dererk Pardon,F,6-8,235,Medi Bayreuth,Cleveland (OH),"2019 NBA Draft, Undrafted",United States
2020,Tayler Persons,G,6-3,220,s.Oliver Baskets,Kokomo (IN),"2019 NBA Draft, Undrafted",United States
2020,Martin Peterka,F,6-8,190,Basketball Lowen Braunschweig,Pardubice,"2017 NBA Draft, Undrafted",Czech Republic
2020,John Petrucelli,G,6-4,190,Ratiopharm Ulm,Hicksville (NY),"2014 NBA Draft, Undrafted",United StatesItaly
2020,Isaiah Philmore,F,6-8,230,Telekom Baskets Bonn,Bel Air (MD),"2014 NBA Draft, Undrafted",United States
2020,Xavier Pollard,G,6-4,210,Telekom Baskets Bonn,Bronx (NY),"2016 NBA Draft, Undrafted",United States
2020,Marcell Pongo,G,6-5,188,HARKO Merlins Crailsheim,Baja,"2019 NBA Draft, Undrafted",Hungary
2020,Phil Pressey,G,5-11,175,EWE Baskets Oldenburg,Dallas (TX),"2013 NBA Draft, Undrafted",United States
2020,Leon Puellen,F,6-7,190,Fraport Skyliners,N/A,"2022 NBA Draft, Undrafted",Germany
2020,Jonah Radebaugh,G,6-3,185,MHP Riesen,Thornton (CO),"2020 NBA Draft, Undrafted",United StatesMontenegro
2020,Will Rayman,F,6-8,210,BG Goettingen,New York (NY),"2020 NBA Draft, Undrafted",United States
2020,Jalen Reynolds,F,6-10,238,Bayern Munich,Livonia (MI),"2016 NBA Draft, Undrafted",United States
2020,Jonas Richter,G,6-9,202,BV Chemnitz 99,Chemnitz,"2019 NBA Draft, Undrafted",Germany
2020,"Galen Robinson, Jr.",G,6-1,190,BG Goettingen,Houston (TX),"2019 NBA Draft, Undrafted",United States
2020,Desi Rodriguez,F,6-6,220,MHP Riesen,Bronx (NY),"2018 NBA Draft, Undrafted",United States
2020,Roko Rogic,G,6-2,184,Mitteldeutscher BC,Zagreb,"2014 NBA Draft, Undrafted",Croatia
2020,Bjorn Rohwer,C,6-10,230,SC Rasta Vechta,Rendsburg,"2017 NBA Draft, Undrafted",Germany
2020,Simon Roosch,G,6-6,187,Basketball Lowen Braunschweig,N/A,"2023 NBA Draft, Undrafted",Germany
2020,Andrew Rowsey,G,5-11,180,Giessen 46ers,Lexington (VA),"2018 NBA Draft, Undrafted",United States
2020,Matej Rudan,F,6-9,205,Bayern Munich,Zagreb,"2023 NBA Draft, Undrafted",Croatia
2020,Jean Salumu,G,6-3,191,SC Rasta Vechta,Sint-Niklaas,"2012 NBA Draft, Undrafted",Belgium
2020,Nico Santana Mojica,F,6-6,172,MHP Riesen,N/A,2024 NBA Draft Eligible,Germany
2020,D.J. Seeley,G,6-4,195,Bayern Munich,Redding (CA),"2013 NBA Draft, Undrafted",United States
2020,T.J. Shorts II,G,5-9,160,Hamburg Towers,Tustin (CA),"2019 NBA Draft, Undrafted",United StatesNorth Macedonia
2020,Ike Smith,F,6-4,210,Giessen 46ers,Gainesville (FL),"2020 NBA Draft, Undrafted",United States
2020,Zach Smith,F,6-8,220,s.Oliver Baskets,Plano (TX),"2018 NBA Draft, Undrafted",United States
2020,Edgar Sosa,G,6-2,175,SC Rasta Vechta,New York (NY),"2010 NBA Draft, Undrafted",United StatesDominican Republic
2020,Pat Spencer,G,6-3,205,Hamburg Towers,Davidsonville (MD),"2020 NBA Draft, Undrafted",United StatesCape Verde
2020,Jonathan Stark,G,6-0,180,Giessen 46ers,Munford (TN),"2018 NBA Draft, Undrafted",United States
2020,Jordan Swing,F,6-6,200,Hamburg Towers,Vestavia Hills (AL),"2014 NBA Draft, Undrafted",United States
2020,Jeril Taylor,G,6-4,195,Giessen 46ers,Louisville (KY),"2017 NBA Draft, Undrafted",United States
2020,Malcolm Thomas,F,6-9,225,Bayern Munich,Columbia (MO),"2011 NBA Draft, Undrafted",United States
2020,James Thompson IV,C,6-10,240,Telekom Baskets Bonn,Baton Rouge (LA),"2019 NBA Draft, Undrafted",United States
2020,Shevon Thompson,C,7-0,242,ALBA Berlin,Clarendon,"2016 NBA Draft, Undrafted",Jamaica
2020,Marcus Thornton,G,6-4,190,BV Chemnitz 99,Upper Marlboro (MD),2015 Rnd 2 Pick 15,United States
2020,Arnas Velicka,G,6-4,192,Basketball Lowen Braunschweig,Kaunas,"2021 NBA Draft, Undrafted",Lithuania
2020,Michele Vitali,G,6-5,196,Brose Baskets Bamberg,Bologna,"2013 NBA Draft, Undrafted",Italy
