Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Talib Zanna,F,6-9,230,Hapoel Tel Aviv,Kaduna,"2014 NBA Draft, Undrafted",Nigeria
2019,Ariel Zano,F,6-8,-,Hapoel Unet Holon,Tel Aviv,"2021 NBA Draft, Undrafted",Israel
2019,Iftah Ziv,G,6-1,190,Hapoel Galil Gilboa,Haifa,"2017 NBA Draft, Undrafted",Israel
2019,Yovel Zoosman,G,6-7,198,Maccabi FOX Tel Aviv,Kfar Saba,"2019 NBA Draft, Undrafted",Israel
2020,Hanna Abed,G,6-2,176,Ironi Nahariya,N/A,2025 NBA Draft Eligible,Israel
2020,Amit Abo,G,6-0,180,Ironi Nes Ziona,Kfar Saba,"2021 NBA Draft, Undrafted",Israel
2020,Mohamed Abuarisha,GF,6-7,200,Hapoel Beer Sheva,Hadera,"2021 NBA Draft, Undrafted",Israel
2020,Quincy Acy,F,6-7,240,Maccabi FOX Tel Aviv,Tyler (TX),2012 Rnd 2 Pick 7,United States
2020,Raz Adam,F,6-3,-,Hapoel Tel Aviv,N/A,"2021 NBA Draft, Undrafted",Israel
2020,Caleb Agada,GF,6-3,209,Hapoel Beer Sheva,Ottawa,"2016 NBA Draft, Undrafted",CanadaNigeria
2020,Noam Akrish,G,6-7,198,Ironi Nahariya,N/A,"2023 NBA Draft, Undrafted",Israel
2020,Eidan Alber,G,6-5,191,Maccabi FOX Tel Aviv,N/A,"2022 NBA Draft, Undrafted",Israel
2020,Joe Alexander,F,6-8,230,Hapoel Unet Holon,Kaohsiung,2008 Rnd 1 Pick 8,United StatesIsrael
2020,Guy Altman,G,6-5,198,Maccabi Rishon Lezion,N/A,"2022 NBA Draft, Undrafted",Israel
2020,Shahar Amir,G,6-2,-,Hapoel Eilat,N/A,"2021 NBA Draft, Undrafted",Israel
2020,Lotan Amsalem,F,6-7,-,Hapoel Tel Aviv,N/A,"2023 NBA Draft, Undrafted",Israel
2020,Dor Anavi,F,6-8,-,Bnei Herzelia,N/A,"2023 NBA Draft, Undrafted",Israel
2020,Braian Angola-Rodas,F,6-6,195,Ironi Nes Ziona,Villanueva,"2018 NBA Draft, Undrafted",Colombia
2020,Kendall Anthony,G,5-8,140,Bnei Herzelia,Jackson (TN),"2015 NBA Draft, Undrafted",United States
2020,Adam Ariel,F,6-5,187,Hapoel Bank Yahav Jerusalem,Jerusalem,"2016 NBA Draft, Undrafted",Israel
2020,Sean Armand,G,6-5,200,Maccabi Rishon Lezion,Brooklyn (NY),"2014 NBA Draft, Undrafted",United States
2020,Netanel Artzi,F,6-6,196,Hapoel Galil Gilboa,Haifa,"2019 NBA Draft, Undrafted",Israel
