Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2022,Nikola Djogo,G,6-8,230,KK Split,Stoney Creek,"2022 NBA Draft, Undrafted",Canada
2022,Asim Djulovic,F,6-6,-,KK Mega Bemax,N/A,2027 NBA Draft Eligible,Serbia
2022,Demir Dogan,C,6-10,209,Studentski Centar Podgorica,N/A,2028 NBA Draft Eligible,Turkey
2022,Strahinja Dragicevic,F,6-7,220,KK Borac Cacak,Cacak,"2008 NBA Draft, Undrafted",Serbia
2022,Savo Drezgic,G,6-4,187,KK Partizan,Belgrade,2028 NBA Draft Eligible,Serbia
2022,Marino Dubravcic,C,6-9,-,KK Split,N/A,2026 NBA Draft Eligible,Croatia
2022,Dusan Eric,G,6-1,-,KK Borac Cacak,N/A,2028 NBA Draft Eligible,Serbia
2022,Dante Exum,G,6-5,214,KK Partizan,Canberra,2014 Rnd 1 Pick 5,Australia
2022,Luka Francesevic,G,6-3,-,KK Cibona,N/A,2027 NBA Draft Eligible,Croatia
2022,Trent Frazier,G,6-2,175,FMP Beograd,Wellington (FL),"2022 NBA Draft, Undrafted",United StatesPuerto Rico
2022,Nikola Glendza,G,6-4,-,Buducnost,N/A,2026 NBA Draft Eligible,Montenegro
2022,Milos Glisic,F,6-9,215,KK Borac Cacak,Banja Luka,"2020 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
2022,Jordan Goldwire,G,6-2,185,KK Mornar,Norcross (GA),"2022 NBA Draft, Undrafted",United States
2022,Ilija Goranovic,G,6-7,192,Studentski Centar Podgorica,Niksic,"2021 NBA Draft, Undrafted",Montenegro
2022,Erick Green,G,6-3,178,Buducnost,Winchester (VA),2013 Rnd 2 Pick 16,United States
2022,Aaron Harrison,GF,6-6,210,KK Cedevita Olimpija Ljubljana,Richmond (TX),"2015 NBA Draft, Undrafted",United States
2022,John Holland,F,6-5,205,KK Crvena Zvezda,Bronx (NY),"2011 NBA Draft, Undrafted",United StatesPuerto Rico
2022,Vasilije Ivancevic,F,6-4,-,KK Mornar,N/A,2027 NBA Draft Eligible,Montenegro
2022,Dimitar Ivanov,F,6-4,174,MZT Skopje Aerodrom,N/A,2025 NBA Draft Eligible,North Macedonia
2022,Brae Ivey,G,6-3,185,MZT Skopje Aerodrom,Huntington Beach (CA),"2020 NBA Draft, Undrafted",United States
2022,Uros Ivkovic,G,6-3,-,KK Borac Cacak,N/A,2028 NBA Draft Eligible,Serbia
2022,Loren Cristian Jackson,G,5-8,150,Studentski Centar Podgorica,Chicago (IL),"2021 NBA Draft, Undrafted",United States
2022,Bosko Jankovic,G,6-5,-,Buducnost,N/A,2026 NBA Draft Eligible,Montenegro
2022,Igor Jokovic,G,6-3,-,Buducnost,N/A,2026 NBA Draft Eligible,Montenegro
2022,Christian Jones,F,6-7,225,KK Mornar,Arlington (TX),"2017 NBA Draft, Undrafted",United States
