"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2023,F,19,Achille Polonara,ZAL,21,30.46875,25.625,8.90625,20.15625,0.6953125,3.4375,10.9375,0.4953125,4.21875,5.46875,1.1984375,5.46875,18.4375,23.90625,7.1875,3.125,2.8125,3.4375,4.0625,2022,F,"6-8",198,Zalgiris,Ancona,"2013 NBA Draft, Undrafted",Italy,Lithuanian LKL
2023,F,23,Artem Kovalov,PZV,28,25.15625,22.34375,8.28125,16.25,0.8046875,1.40625,4.6875,0.446875,4.375,7.65625,0.8828125,5.46875,10.78125,16.40625,2.65625,2.1875,3.4375,2.5,7.34375,2022,F,"6-8",176,Pieno Zvaigzdes,Mariupol,"2019 NBA Draft, Undrafted",Ukraine,Lithuanian LKL
2023,F,24,Arturas Valeika,JJ,24,19.6875,21.5625,6.40625,13.59375,0.7390625,0.78125,3.4375,0.334375,7.96875,9.21875,1.3515625,5.625,8.90625,14.6875,7.1875,2.65625,2.5,6.25,17.03125,2022,F,"6-8",190,Jonava Jonavos,Vilnius,"2008 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,25,Dovydas Romancenko,JUV,35,27.1875,21.40625,6.71875,16.09375,0.65625,2.1875,8.28125,0.4203125,5.625,6.71875,1.3015625,5.46875,6.71875,12.03125,1.875,1.40625,0.9375,3.28125,10.78125,2021,F,"6-9",176,Neptunas,Visaginas,"2020 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,F,28,Dovydas Romancenko,SIA,27,21.875,20.46875,5.15625,10.46875,0.7671875,1.25,3.90625,0.46875,8.90625,11.40625,1.2328125,6.40625,5.15625,11.5625,2.03125,2.03125,1.40625,4.84375,11.09375,2021,F,"6-9",176,Neptunas,Visaginas,"2020 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,28,Rinalds Malmanis,NEP,33,30.15625,16.5625,6.40625,17.8125,0.559375,1.71875,7.34375,0.378125,2.1875,3.28125,1.0046875,5.0,9.0625,14.0625,4.21875,1.71875,0.78125,2.65625,8.28125,2022,F,"6-9",210,Neptunas,Valmiera,"2018 NBA Draft, Undrafted",Latvia,Lithuanian LKL
2023,F,30,Justinas Marcinkevicius,KED,20,25.46875,15.0,6.71875,13.59375,0.76875,0.625,4.53125,0.234375,0.9375,1.40625,1.0421875,3.75,7.1875,10.78125,2.5,1.875,0.9375,3.75,5.78125,2022,F,"6-8",190,Kedainiai Nevezis,Kaunas,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,F,26,Justinas Marcinkevicius,KED,27,23.125,22.1875,8.125,16.875,0.746875,1.5625,5.46875,0.43125,4.53125,5.46875,1.29375,5.78125,6.25,12.03125,2.03125,0.625,1.5625,2.1875,6.71875,2022,F,"6-8",190,Kedainiai Nevezis,Kaunas,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,C,1,Jaime Echenique,LIE,15,24.21875,56.71875,23.90625,35.15625,1.0609375,0.0,0.0,0.0,9.0625,12.8125,1.09375,7.03125,10.625,17.65625,2.96875,0.625,2.5,6.40625,11.875,2022,C,"6-11",258,Lietuvos Rytas,Barranquilla,"2020 NBA Draft, Undrafted",Colombia,Lithuanian LKL
2023,C,2,Justin Alston,JUV,35,32.8125,44.84375,19.21875,33.28125,0.9015625,0.78125,2.65625,0.4203125,5.78125,7.8125,1.171875,6.40625,13.75,20.15625,4.53125,1.5625,1.5625,7.8125,9.6875,2022,F,"6-8",230,Juventus,Washington (DC),"2017 NBA Draft, Undrafted",United States,Lithuanian LKL
