"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2023,G,1,David Kramer,BLB,30,34.125,38.625,12.125,31.0,0.4875,5.875,18.125,0.40375,8.625,10.25,1.0525,1.625,7.5,9.125,2.375,2.625,0.25,5.25,5.75,2020,G,"6-3",185,Bayern Munich,Myjava,"2019 NBA Draft, Undrafted",SlovakiaAustria,German BBL
2021,G,48,Anthony Watkins,BLB,13,2.625,13.5,6.75,11.25,0.75,0.0,0.0,0.0,0.0,4.5,0.0,2.25,2.25,4.5,0.0,2.25,0.0,0.0,4.5,2020,GF,"6-4",207,Basketball Lowen Braunschweig,Heidelberg,"2020 NBA Draft, Undrafted",GermanyUnited States,German BBL
2022,G,22,Anthony Watkins,MLP,14,1.875,25.125,8.375,19.5,0.53625,0.0,2.75,0.0,8.375,22.375,0.46875,2.75,8.375,11.125,8.375,0.0,0.0,8.375,5.625,2020,GF,"6-4",207,Basketball Lowen Braunschweig,Heidelberg,"2020 NBA Draft, Undrafted",GermanyUnited States,German BBL
2021,G,50,Luis Figge,BVC,20,11.875,12.25,3.75,12.625,0.375,1.625,7.25,0.27125,3.125,4.125,0.96125,1.25,3.5,4.75,3.125,2.875,0.375,2.875,10.75,2020,G,"6-6",168,BV Chemnitz 99,Korbach,"2019 NBA Draft, Undrafted",Germany,German BBL
2021,G,53,Virgil Matthews,BVC,28,18.125,10.25,4.0,11.125,0.45,1.125,5.125,0.28625,1.0,1.625,0.795,2.25,5.0,7.25,11.875,2.5,0.5,6.0,5.625,2020,G,"6-3",195,BV Chemnitz 99,Spanaway (WA),"2006 NBA Draft, Undrafted",United States,German BBL
2021,G,55,Marko Krstanovic,BC,34,13.875,8.25,3.125,7.75,0.51,0.625,3.375,0.2375,1.25,2.25,0.71375,1.125,3.0,4.125,5.125,3.875,0.75,6.625,15.0,2019,G,"6-5",187,Mitteldeutscher BC,"","2019 NBA Draft, Undrafted",Germany,German BBL
2021,F,1,Tim Coleman,CRA,14,21.625,37.75,10.875,26.375,0.51875,3.0,9.875,0.375,12.875,16.125,1.0,3.5,10.375,13.875,7.0,2.75,1.5,11.375,10.625,2020,F,"6-5",210,HARKO Merlins Crailsheim,Union (NJ),"2017 NBA Draft, Undrafted",United States,German BBL
2023,G,6,Tim Coleman,MLP,26,27.375,31.625,9.625,23.875,0.50125,3.5,12.875,0.3375,9.0,12.125,0.935,2.75,10.75,13.5,3.625,3.5,2.375,5.0,9.125,2020,F,"6-5",210,HARKO Merlins Crailsheim,Union (NJ),"2017 NBA Draft, Undrafted",United States,German BBL
2024,G,21,Tim Coleman,MLP,12,27.25,28.125,8.875,26.75,0.41625,3.0,11.875,0.3125,7.375,8.875,1.02625,3.375,8.0,11.5,4.75,2.5,0.875,5.25,10.5,2020,F,"6-5",210,HARKO Merlins Crailsheim,Union (NJ),"2017 NBA Draft, Undrafted",United States,German BBL
2021,F,3,Rihards Lomazs,GOE,21,35.0,35.5,11.125,23.625,0.59,5.875,13.25,0.5475,7.5,8.875,1.04875,0.375,3.0,3.375,7.5,2.0,0.125,3.625,4.5,2020,F,"6-4",192,BG Goettingen,Tukums,"2018 NBA Draft, Undrafted",Latvia,German BBL
