Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Vassilis Staurakoukas,G,6-3,-,Peristeri BC,,"2023 NBA Draft, Undrafted",Greece
2019,Janis Strelnieks,G,6-3,190,Olympiacos,Talsi,"2011 NBA Draft, Undrafted",Latvia
2019,Nikos Stylianou,F,6-6,210,GS Kymis,Athens,"2010 NBA Draft, Undrafted",GreeceCyprus
2019,Scott Suggs,G,6-7,199,GS Kymis,Washington (MO),"2013 NBA Draft, Undrafted",United States
2019,Gary Talton,G,6-1,165,Holargos,Dallas (TX),"2013 NBA Draft, Undrafted",United States
2019,Georgios Tanoulis,C,6-11,231,PAOK BC,Thessaloniki,2024 NBA Draft Eligible,Greece
2019,Dionysios Tataris,C,6-9,250,Peristeri BC,Patras,"2020 NBA Draft, Undrafted",Greece
2019,Sakis Tataris,F,6-7,250,Peristeri BC,Patras,"2020 NBA Draft, Undrafted",Greece
2019,Jimmie Taylor,C,6-10,248,Panionios BC,Greensboro (AL),"2017 NBA Draft, Undrafted",United States
2019,Milenko Tepic,F,6-6,212,PAOK BC,Belgrade,"2009 NBA Draft, Undrafted",Serbia
2019,Jordan Theodore,G,6-1,175,AEK Athens,Englewood (NJ),"2012 NBA Draft, Undrafted",United StatesNorth Macedonia
2019,Deshaun Thomas,F,6-7,220,Panathinaikos,Fort Wayne (IN),2013 Rnd 2 Pick 28,United States
2019,Devin Thomas,F,6-9,248,GS Lavrio,Harrisburg (PA),"2016 NBA Draft, Undrafted",United States
2019,Filippos Tigkas,G,6-1,-,AEK Athens,,2024 NBA Draft Eligible,Cyprus
2019,Janis Timma,F,6-7,226,Olympiacos,Kraslava,2013 Rnd 2 Pick 30,Latvia
2019,Vasilis Toliopoulos,G,6-2,175,Olympiacos,Athens,"2018 NBA Draft, Undrafted",Greece
2019,Axel Toupane,G,6-7,197,Olympiacos,Mulhouse,"2014 NBA Draft, Undrafted",France
2019,Stavros Toutziarakis,C,6-11,230,GS Kymis,Florina,"2009 NBA Draft, Undrafted",Greece
2019,Michalis Tsairelis,F,6-10,225,ASP Promitheas Patras,Thessaloniki,"2010 NBA Draft, Undrafted",Greece
2019,Georgios Tsalmpouris,FC,7-2,217,AEK Athens,Veria,"2016 NBA Draft, Undrafted",Greece
2019,Giorgos Tsiaras,C,6-10,245,GS Kymis,Larissa,"2004 NBA Draft, Undrafted",Greece
2019,Apollona Tsochlas,G,6-3,195,PAOK BC,Argostoli,"2005 NBA Draft, Undrafted",Greece
2019,Andreas Tsoumanis,F,6-8,-,Olympiacos,Ioannina,"2023 NBA Draft, Undrafted",Greece
2019,Justin Tuoyo,FC,6-10,235,AEK Athens,Hampton (GA),"2017 NBA Draft, Undrafted",United States
2019,Manny Ubilla,G,6-2,185,GS Kymis,Freehold (NJ),"2008 NBA Draft, Undrafted",United States
2019,Panagiotis Vasilopoulos,F,6-8,235,Peristeri BC,Maroussi,"2006 NBA Draft, Undrafted",Greece
2019,Dimitrios Verginis,G,6-4,195,Aris BC,Thessaloniki,"2009 NBA Draft, Undrafted",Greece
